Number of Iterations,Reward,Lost Data
658,-79.79492669,89.90703812
659,-75.99134897,80.42741935
660,-64.4611437,52.04178886
661,-64.02249267,51.09545455
662,-68.77058651,62.73108504
663,-69.57260997,64.72331378
664,-70.6559824,67.22096774
665,-68.67451613,62.32595308
666,-70.07384164,66.10102639
667,-74.03739003,75.78812317
668,-76.43741935,81.54076246
669,-65.88932551,55.47844575
670,-76.52246334,82.19692082
671,-74.46824047,76.56099707
672,-63.93152493,50.80205279
673,-65.93888563,55.89926686
674,-76.04026393,80.7329912
675,-77.53536657,84.47624633
676,-72.17219941,71.21495601
677,-69.39519062,64.15146628
678,-70.91085044,67.99926686
679,-73.43923754,74.23225806
680,-72.35595308,71.428739
681,-67.86926686,60.4356305
682,-72.02510264,70.78489736
683,-78.06832845,85.72434018
684,-69.12005865,63.83387097
685,-74.0916129,75.75322581
686,-80.75134897,92.43005865
687,-73.44615836,74.36319648
688,-74.54249267,76.94824047
689,-72.8557478,72.85234604
690,-65.61595308,54.77668622
691,-71.11211144,68.57756598
692,-76.35035191,81.26627566
693,-67.11181818,58.70879765
694,-69.76398827,65.02214076
695,-70.30891496,66.43944282
696,-69.07917889,63.26612903
697,-72.2244868,71.29985337
698,-73.24961877,73.63357771
699,-68.20859238,61.28577713
700,-74.69865103,77.31480938
701,-74.38785924,76.60747801
702,-69.93539589,65.6101173
703,-75.76082111,79.92991202
704,-69.0872434,63.60703812
705,-73.44645161,74.12199413
706,-73.50146628,74.36583578
707,-69.31219941,63.88533724
708,-72.82677419,72.65527859
709,-77.62853372,84.65967742
710,-76.27272727,81.07771261
711,-78.93747801,87.42434018
712,-70.77422287,67.67785924
713,-67.14258065,58.78020528
714,-67.43774194,59.43196481
715,-78.19170088,85.64237537
716,-76.12002933,80.62815249
717,-72.09451613,70.66334311
718,-71.06093842,68.31217009
719,-74.57809384,76.971261
720,-66.48108504,57.21260997
721,-76.34343109,81.20498534
722,-75.92205279,80.03607038
723,-69.81879765,65.32595308
724,-65.44243402,54.42170088
725,-68.3101173,61.49926686
726,-67.86739003,60.20366569
727,-67.53070381,59.37478006
728,-72.32143695,71.29296188
