Number of Iterations,Reward,Lost Data
511.0,-75.23988281,86.10751953
512.0,-68.5534375,69.12041016
513.0,-74.37779297,83.47255859
514.0,-74.74914063,84.2703125
515.0,-71.94660156,77.41044922
516.0,-69.59089844,71.66035156
517.0,-73.57714844,81.55273438
518.0,-64.52529297,59.18798828
519.0,-74.35205078,83.53027344
520.0,-68.11742188,67.50546875
521.0,-75.91496094,86.73320313
522.0,-70.86232422,73.80253906
523.0,-67.57167969,65.85302734
524.0,-66.61408203,63.39921875
525.0,-67.60107422,66.11083984
526.0,-74.58882812,82.85878906
527.0,-71.34472656,75.04150391
528.0,-70.98576172,74.06474609
529.0,-74.01248047,81.39960938
530.0,-67.37371094,65.25068359
531.0,-68.45501953,67.90634766
532.0,-68.85476563,68.88251953
533.0,-72.93884766,79.06464844
534.0,-68.62582031,68.64462891
535.0,-71.07173828,74.37734375
536.0,-71.45195313,75.61230469
537.0,-73.88132813,81.41962891
538.0,-74.05830078,81.69970703
539.0,-74.270625,82.47587891
540.0,-71.2928125,75.05820313
541.0,-70.95736328,73.97666016
542.0,-70.28105469,72.70947266
543.0,-72.13769531,77.12646484
544.0,-68.51642578,67.69365234
545.0,-67.96373047,66.50966797
546.0,-72.51115234,77.93193359
547.0,-74.06486328,81.93828125
548.0,-78.40982422,92.53457031
549.0,-66.43441406,62.86826172
550.0,-65.17660156,59.08652344
551.0,-74.07849609,81.34980469
552.0,-69.69794922,70.38623047
553.0,-67.02492187,63.99541016
554.0,-68.75498047,68.26074219
555.0,-71.26429688,74.18857422
556.0,-71.98498047,75.82548828
557.0,-73.35835937,79.14785156
558.0,-75.06835938,83.40820313
559.0,-64.536875,57.42617188
560.0,-74.47931641,81.67802734
561.0,-72.70759766,77.28291016
562.0,-67.49386719,64.32548828
563.0,-70.05392578,70.66826172
564.0,-77.25826172,87.70742188
565.0,-80.67074219,96.60605469
566.0,-72.21191406,75.38330078
567.0,-69.03560547,67.72207031
568.0,-70.92769531,72.36074219
569.0,-69.62001953,69.29785156
570.0,-67.39296875,63.60205078
571.0,-71.70863281,74.35458984
572.0,-71.83117188,75.19804688
573.0,-66.02404297,60.78886719
574.0,-66.0946875,60.81044922
575.0,-76.05169922,85.37460938
576.0,-69.51958984,69.11513672
577.0,-71.95123047,75.50429688
578.0,-69.24222656,68.19589844
579.0,-70.84199219,72.23681641
580.0,-68.61960938,66.42695313
581.0,-69.46068359,68.14755859
582.0,-74.35140625,79.74570313
583.0,-71.35773438,72.72539063
584.0,-73.98710938,79.20605469
585.0,-75.1671875,82.14404297
586.0,-68.08570313,64.78701172
587.0,-70.41236328,70.53896484
588.0,-72.41927734,75.47080078
589.0,-78.49466797,90.80576172
590.0,-76.86083984,86.26953125
591.0,-69.38882813,67.65419922
592.0,-75.57316406,83.17851563
593.0,-72.95386719,76.62294922
594.0,-73.65824219,78.43515625
595.0,-74.30175781,79.75097656
596.0,-72.558125,75.60673828
597.0,-70.58914063,70.81123047
598.0,-72.48148438,75.52255859
599.0,-66.64916016,61.11630859
600.0,-74.12988281,79.23583984
601.0,-68.06070313,65.01748047
602.0,-71.53982422,72.95722656
603.0,-75.92962891,84.20029297
604.0,-67.86589844,63.71259766
605.0,-67.89046875,63.83994141
606.0,-69.95550781,68.90244141
